,text
883,"-Discuss strategies to avoid or cope with high-risk situations (e. g., social situations, stress-
ful events)."
884,"-Make specific plans to avoid alcohol and drugs (e.g., ways to face stressful events without 
alcohol or drugs, ways to respond to friends who still use drugs)."
885,"-Help patients to identify family members or friends who will support stopping alcohol and 
drugs."
886,-Discuss symptoms and management of alcohol or drug withdrawal.
887,"If reducing use is a reasonable goal (or if patient is unwilling to quit) 
-Negotiate a clear goal for decreased use (e. g., no more than two drinks per day with two 
alcohol-free days per week)."
888,"-Discuss strategies to avoid or cope with high-risk situations (e.g., social situations, stress-
ful events)."
889,"-Introduce strategies to control use (e.g., time restrictions, slowing down drinking)."
890,"For patients not willing to stop or reduce use now 
-Do not reject or blame."
891,-Clearly point out problems caused by alcohol or drugs.
892,-Make a future appointment to discuss patient's drinking.
893,"For patients who do not succeed or relapse 
-Identify and give credit for any success."
894,-Discuss situations which led to relapse.
895,"-Return to earlier steps above 
Self-help organizations (e.g., Alcoholics Anonymous) are often helpfuL 
I Medication I 
Withdrawal from alcohol or sedatives may require short-term antianxiety drugs."
896,"Severe alcohol 
or sedative withdrawal may require hospitalization and use of higher dose antianxiety drugs."
897,"Withdrawal from stimulants, cocaine or opiates is distressing and may require medical super­
vision."
898,"I Specialist consultation I 
Specialized counselling programmes should be conSidered, if available."
899,"FI $ -Alcohol and drug use disorders 67 F2$ -Psychotic disorders 
Presenting complaints 
Patients may present with: 
reports of hearing voices 
-extraordinary physical complaints (e. g., having animals or unusual objects inside one's 
body) 
-difficulties with thinking or concentration 
-confusion."
900,"The family or community may ask for help with the patient's strange or frightening behaviour 
(e.g., shouting, agitation, threatening) or because of withdrawal and apathy."
901,"I Diagnostic features I 
In acute cases: 
agitation or disturbed behaviour 
-hallucinations (false or imagined perceptions such as hearing voices) 
delusions (firm beliefs that are plainly false, e. g., food is poisoned, patient is being followed 
or persecuted)."
902,"disordered thinking, disorganized or strange speech 
extreme and labile emotional states."
903,"In chronic cases, the acute symptoms above may occur only occasionally."
904,"Between these acute 
spells, patients often show: 
social withdrawal 
low motivation or interest 
-disordered thinking or difficulty concentrating."
905,"Consider treatable causes of psychotic symptoms, including: 
-infectious or febrile illness 
intoxication or withdrawal from alcohol or drugs 
epilepsy 
head injury."
906,"If symptoms of depression are prominent (low or sad mood, pessimism, ideas of guilt) see 
Depression -F3$."
907,"If symptoms of mania (excitement, elevated mood, exaggerated self-worth) are prominent, the 
patient may have bipolar disorder."
908,"If pOSSible, seek consultation regarding management."
909,"68 F2$ Psychotic disorders Essential information for patient and family 
-Agitation and strange behaviour are symptoms of a mental illness."
910,"Effective treatment is 
available."
911,Acute episodes often resolve though they may recur.
912,"The long-term course of the illness is 
difficult to predict."
913,"Medication is a central component of treatment; it will both reduce current symptoms and 
prevent relapse."
914,"Continued treatment may be necessary for several months after symptoms 
resolve."
915,-Family support is essential for compliance with treatment and effective rehabilitation.
916,"I Counselling of patient and family I 
Discuss treatment plan with family members and obtain their support."
917,"-During acute episodes of agitation or excitement: 
• assess and secure the safety of the patient and those caring for him/her 
• ensure that the patient's basic needs (food and drink) are met 
• do not argue with abnormal beliefs 
• dangerous behaviour or severe agitation 'will require close supervision or hospitalization 
• families may need help managing disruptive or threatening behaviour 
• if patients refuse treatment, legal measures may be needed 
• encourage resumption of normal activities after symptoms improve."
918,"-Avoid confrontation or criticism unless necessary to prevent harmful or disruptive behav­
iour."
919,Unreasonably high expectations by patients or others may be harmful.
920,"However, patients 
should be allowed to function at the highest level of their ability in work or other daily 
activities."
921,"I Medication 
Antipsychotic medication will reduce agitation, hallucinations and delusions (e. g., halop­
eridol2-S mg up to three times a day or chlorpromazine 100--200mg up to three times a day)."
922,"The dose should be the lowest possible for the relief of symptoms, though some patients may 
require higher doses."
923,"Continue antipsychotic medication for at least three months after symptoms resolve (longer 
in the case of a recurrent episode)."
924,"If available, injectable long-acting antipsychotic medication may ensure continuity of treat­
ment and reduce risk of relapse."
925,Inform patient and family of potential side-effects.
926,"Common motor side-effects include: 
-acute dystonias or spasms that can be managed with injectable benzodiazepines or antipark­
insonian drugs 
akathisia (severe motor restlessness) that can be managed with dosage reduction or beta­
blockers 
-Parkinsonian symptoms (tremor, akineSia) that can be managed with oral antiparkinsonian 
drugs (e. g., biperiden 1 mg up to three times a day)."
927,"I Specialist consultation I 
If facilities exist, seek consultation for all new cases of psychotic disorder."
928,Depression or mania with psychotic symptoms may need other treatment.
929,"If pOSSible, seek 
consultation to clarify diagnosis and begin appropriate treatment."
930,"Consultation with appropriate community services may reduce family burden and improve 
rehabilitation."
931,Also seek consultation in cases of severe motor side-effects.
932,"F2$ -Psychotic disorders 69 F3$ -Depression 
I Presenting complaints I 
The patient may present initially with one or more physical symptoms (fatigue, headache, 
pain)."
933,Further enquiry will reveal depression or loss of interest.
934,Irritability is sometimes the presenting problem.
935,May present after suicide attempt.
936,"Some groups are at higher risk (e. g., those who have recently given birth or had a stroke, those 
with Parkinson's disease or multiple sclerosis)."
937,"I Diagnostic features I 
Low or sad mood."
938,Loss of interest in usual activities (withdrawal or inactivity).
939,"The following associated symptoms are frequently present: 
disturbed sleep 
poor concentration 
guilt or low self-worth 
disturbed appetite (or 
fatigue or loss of energy 
change in weight) 
suicidal thoughts or acts 
decreased libido 
agitation or slowing of activity."
940,Symptoms of anxiety or nervousness are also frequently present.
941,"I Differential diagnosis I 
Some medications may produce symptoms of depression (e. g., beta-blockers, other antihyper­
tensives, H2 blockers, oral contraceptives, corticosteroids)."
942,"If hallucinations (hearing voices, seeing visions) or delusions (strange or unusual beliefs) are 
present, see also Psychotic disorders for management of these problems."
943,"If possible, seek con­
sultation about management."
944,"If the patient has a history of manic episodes (excitement, elevated mood, rapid speech), he/she 
may have bipolar disorder."
945,"If possible, seek consultation on diagnosis and management."
946,"If heavy alcohol use is present, see Alcohol and drug use disorders -Fi!."
947,"70 F3$ -Depression Essential information for patient and family 
-Depression is common and effective treatments are available."
948,-Depression is not weakness or laziness; patients are trying hard to cope.
949,"Counselling of patient and family I 
Ask about risk of suicide and risk of harm to others."
950,"Has the patient often thought of 
death or dying?"
951,Does the patient have a specific suicide plan?
952,"Has he/she made serious sui­
cide attempts in the past?"
953,Can the patient be sure not to act on suicidal ideas?
954,"Close super­
vision by family or friends, or hospitalization, may be needed."
955,-Plan short-term activities which give the patient enjoyment or build confidence.
956,"Encourage the patient to resist pessimism and self-criticism, not to act on pessimistic 
ideas (e.g., ending marriage, leaving job), and not to concentrate on negative or guilty 
thoughts."
957,-Identify current life problems or social stresses.
958,"Focus on small, specific steps patients might 
take towards managing these problems."
959,"-If physical symptoms are present, discuss link between physical symptoms and mood (see 
Unexplained somatic complaints F5$)."
960,"After improvement, discuss action to be taken if signs of relapse occur."
961,"Medication I 
Consider antidepressant drugs if sad mood or loss of interest are prominent for at least 
two weeks and four or more of these symptoms are present: 
fatigue or loss of energy disturbed sleep 
guilt or self-reproach poor concentration 
thoughts of death or suicide disturbed appetite 
agitation or slowing of 
movement and speech."
962,"In severe cases, consider medication at the first visit."
963,"In moderate cases, consider medication 
if counselling is not sufficiently helpful."
964,"Build up to the effective dose (e. g., imipramine starting at 25-50 mg each night and increasing 
to 100-150mg by 10 days)."
965,"Lower doses should be given if the patient is older or physically 
ill."
966,"Explain to patient that the medication must be taken every day, that improvement will build 
up over two to three weeks, and that mild side-effects may occur but usually fade in 7-10 days."
967,Advise the patient always to check with health care worker before stopping the medicatin.
968,Continue antidepressant medication for at least 3 months after the condition improves.
969,"I Specialist consultation I 
Consider consultation if the patient shows significant risk of harm to self or others, or if psy­
chotic symptoms are present."
970,"If significant depression persists, consider consultation about other therapies."
971,"More intensive 
psychotherapies (e. g., cognitive therapy, interpersonal therapy) may be useful for treatment 
of acute cases and prevention of relapse."
972,"F3$ -Depression 71 F4$ -Anxiety disorders 
The patient may present initially with tension-related physical symptoms (e. g., headache, 
pounding heart)."
973,Enquiry will reveal prominent anxiety.
974,"~gnostic fea~ 
Fear, anxiety or worry (exaggerated worry, inability to relax), often accompanied by: 
poor concentration fast or pounding heart 
restlessness headaches 
tremors 
dizziness churning stomach or nausea 
sweating."
975,Disorders may occur as sudden attacks of anxiety or fear.
976,Some patients may have extreme fear of specific situations.
977,"Common feared situations include 
leaving home, crowds, sodal events, buses or trains."
978,"Patients may be unable to be alone in 
these situations or may aVOid them altogether."
979,"I Differential diagnosis I 
If low or sad mood is prominent, see Depression -F3$."
980,"If heavy alcohol or drug use is present, see Alcohol and drug disorders -Fl$."
981,"72 F4$ -Anxiety disorders Essential information for patient and family 
Stress and worry have both physical and mental effects."
982,"Learning skills to reduce the effects of stress (not sedative medication) is the most effective 
relief."
983,Anxiety often produces frightening physical symptoms.
984,"Chest pain, dizziness, or short­
ness of breath are not necessarily signs of a physical illness."
985,"Avoiding feared situations allows the fear to grow stronger; confronting these situations will 
reduce the fear."
986,"Encourage the patient to practise relaxation methods (such as slow, relaxed breathing) to 
reduce physical symptoms of anxiety."
987,"Identify exaggerated fears which occur with anxiety (e. g., patient feels a pounding heart and 
fears he/she is having a heart attack)."
988,"Discuss ways to challenge these fears when they occur (e.g., patient reminds him/herself, 
""l am not having a heart attack."
989,"This is a panic attack, and it will pass in a few minutes"")."
990,"For phobias (anxiety related to specific situations), plan a series of steps to enable tbe pa­
tient to confront and get used to feared situations."
991,"For example: 
1) Identify a small first step towards the feared situation (e. g., take a short walk away from home 
with a family member)."
992,2) This step should be practised over and over until it is no longer frightening.
993,"3) If the feared situation still causes anxiety, the patient should not leave the situation until the fear 
subsides (this will always occur after a few minutes)."
994,"4) Move on to a slightly more difficult step and repeat the procedure (e.g., spend a longer time 
away from home)."
995,5) Do not use alcohol or drugs to help cope with feared situations.
996,-Identify current life problems or social stresses.
997,"Focus on small, specific steps patients might 
take towards managing these problems."
998,-Regular exercise is often helpful.
999,"I Medication I 
With the above counselling, many patients will be able to deal ~ith anxiety without medica­
tion."
1000,"If panic attacks are frequent or if the patient is also depressed, antidepressants may be helpful 
(e.g., imipramine 2Smg at night increasing to 7S-100mg at night after two weeks)."
1001,"For patients with more severe anxiety, short-term use of antianxiety medication may be helpful 
(e. g., lorazepam 0.5 mg up to three times a day)."
1002,"Regular use may lead to dependence with 
symptoms returning when the medication is discontinued."
1003,"I Specialist consultation I 
Avoid unnecessary tests or medications."
1004,Consultation may be helpful if severe anxiety lasts longer than three months.
1005,"F4$ -Anxiety disorders 73 F5$ -Unexplained somatic complaints 
Any physical symptom may be present."
1006,Symptoms may vary widely across cultures.
1007,"Complaints may be single or multiple, and may change over time."
1008,"Various physical complaints without a physical explanation (a full history and physical 
examination are necessary to determine this)."
1009,Symptoms of depression and anxiety are common.
1010,"In acute cases, patients may have: 
dramatic presentations with exaggerated, attention-seeking behaviour 
unusual symptoms not consistent with known disease 
symptoms that vary from minute to minute 
symptoms that may be related to attention from others 
In chronic cases, patients may: 
visit health services repeatedly although medical examinations show no physical problem 
seek only relief from symptoms 
be convinced of the presence of physical illness and unable to believe that no medical con­
dition is present (hypochondriasis)."
1011,"Differential diagnosis I 
If low or sad mood is prominent, see Depression -F3$."
1012,"If strange physical symptoms are present (e. g., belief that organs are decaying) see Psychotic 
disorders."
1013,"If anxiety symptoms are prominent, see Anxiety disorders -F4$."
1014,"74 F5$ -Unexplained somatic complaints Essential information for patient and family 
Stress often produces physical symptoms."
1015,"The focus should be on managing the symptoms, not on discovering their cause."
1016,"Cure may not be possible; the goal should be to live the best life possible even if symptoms 
continue."
1017,"Counselling of patient and family I 
-Acknowledge that the patient's physical symptoms are real."
1018,"They are not lies or inven­
tions."
1019,-Reinforce improvement in the patient.
1020,Try not to reinforce symptoms.
1021,-Ask the patient what he/she thinks is causing the symptoms.
1022,"Offer appropriate reassur-
ance (e. g., abdominal pain does not indicate cancer)."
1023,"Advise patients not to focus on medical 
worries."
1024,-Discuss emotional stresses that were present when the symptoms began.
1025,"-Relaxation methods can help relieve symptoms related to tension (headache, neck or back 
pain)."
1026,-Acute cases may need brief rest and relief from stress.
1027,"After the acute period, encourage 
exercise and enjoyable activities."
1028,"The patient need not wait until all symptoms are gone 
before returning to normal routines."
1029,"-For patients with more chronic complaints, regular time-limited appointments with the 
same doctor may prevent more frequent urgent visits."
1030,"I Medication I 
Avoid unnecessary diagnostic testing or prescription of new medication for each new symp­
tom."
1031,"Antidepressant medication (e.g., imipramine 2S-7Smg a day) may be helpful in some cases 
(e. g., headache, irritable bowel syndrome, atypical chest pain)."
1032,"I Specialist consultation I 
Avoid referrals to specialists."
1033,Patients are best managed by one primary health care physician.
1034,"Patients may be offended by psychiatric referral and seek additional medical consultation else­
where."
1035,"F5$ -Unexplained somatic complaints 75 Appendix 1 
Crosswalks between ICD-l0 PC 
Chapter V 61 ICD-l0 Chapter V 
The ICD-lO PC codes refer to the corresponding ICD-lO three character codes and their relevant 
subcodes (e. g., fourth and fifth character codes)."
1036,"Detailed codes have been taken from The 
International Classification of Men tal and Behavioural Disorders (WHO, 1992)."
1037,"ICD-lO PC Chapter V 
FOO# Dementia 
Appendix 1 -Crosswalks ICD-lO Chapter V Main Volume 
FOO Dementia in Alzheimer's disease 
FOl Vascular dementia 
F02 Dementia in diseases classified elsewhere 
F03 Unspecified dementia 
includes subcodes for the above 
FOO Dementia in Alzheimer's disease 
FOO.O Dementia in Alzheimer's disease with early onset 
FOO.l Dementia in Alzheimer's disease with late onset 
FOO.2 Dementia in Alzheimer's disease, atypical or mixed type 
FOO.9 Dementia in Alzheimer's disease, unspecified 
FOl Vascular dementia 
F01.0 Vascular dementia of acute onset 
F01.l Multi-infarct dementia 
F01.2 Subcortical vascular dementia 
F01.3 Mixed cortical and subcortical vascular dementia 
F01.8 Other vascular dementia 
F01.9 Vascular dementia, unspecified 
F02 Dementia in other diseases classified elsewhere 
F02.0 Dementia in Pick's disease 
F02.l Dementia in Creutzfeldt-Jakob disease 
F02.2 Dementia in Huntington's disease 
F02.3 Dementia in Parkinson's disease 
F02.4 Dementia in human immunodeficiency virus [HlV] 
disease 
F02.8 Dementia in other specified diseases classified elsewhere 
F03 Unspecified dementia 
A fifth character may be added to specify dementia in 
FOO-F03, as follows: 
.xO 
.xl Without additional symptoms 
Other symptoms, predominantly delusional 
77 ICD-1O PC Chapter V 
FOS 
FIO Delirium 
Alcohol use 
disorders ICD-1O Chapter V Main Volume 
.x2 Other symptoms, predominantly hallucinatory 
.x3 Other symptoms, predominantly depressive 
.x4 Other mixed symptoms 
FOS Delirium, not induced by alcohol and other psychoactive 
substances 
includes subcodes (fourth character) for the above 
FOS Delirium, not induced by alcohol and other psychoactive 
substances 
FOS.O Delirium, not superimposed on dementia, so 
described 
FOS.1 Delirium, superimposed on dementia 
FOS.8 Other delirium 
FOS.9 Delirium, unspecified 
FlO Disorders resulting from use of alcohol 
includes subcodes (fourth, fifth and sixth character) for the 
above 
FIO.O Acute intoxication 
FIO.1 Harmful use 
FIO.2 Dependence syndrome 
F10.3 Withdrawal state 
F10.4 Withdrawal state with delirium 
F10.S Psychotic disorder 
F10.6 Amnesic syndrome 
PlO.7 Residual and late onset psychotic disorder 
Four-and five-character categories may be used to specify the 
clinical conditions, as follows: 
F1x.0 Acute intoxication 
.00 Uncomplicated 
.01 With trauma or other bodily injury 
.02 With other medical complications 
.03 With delirium 
.04 With perceptual distortions 
.05 With coma 
.06 With convulsions 
.07 Pathological intoxication 
F1x.1 Harmful use 
F1x.2 Dependence syndrome 
.20 Currently abstinent 
.21 Currently abstinent, but in a protected 
environment 
.22 Currently on a clinically supervised main­
tenance or replacement regime [controlled 
dependence] 
.23 Currently abstinent, but receiving treat­
ment with aversive or blocking drugs 
78 Appendix 1 -Crosswalks ICD-lO PC Chapter V ICD-lO Chapter V Main Volume 
.24 Currently using the substance [active 
dependence] 
.25 Continuous use 
.26 Episodic use [dipsomaniaJ 
F1x.3 Withdrawal state 
.30 Uncomplicated 
.31 With convulsions 
Flx.4 Withdrawal state with delirium 
.40 Without convulsions 
.41 With convulsions 
Flx.5 Psychotic disorder 
.50 Schizophrenia-like 
.51 Predominantly delusional 
.52 Predominantly hallucinatory 
.53 Predominantly polymorphic 
.54 Predominantly depressive symptoms 
.55 Predominantly manic symptoms 
.56 Mixed 
F1x.6 Amnesic syndrome 
FIx.7 Residual and late-onset psychotic disorder 
.70 Flashbacks 
.71 Personality or behaviour disorder 
.72 Residual affective disorder 
.73 Dementia 
.74 Other persisting cognitive impairment 
.75 Late-onset psychotic disorder 
Flx.S Other mental and behavioural disorders 
FIx.9 Unspecified mental and behavioural disorder 
FII # Drug use disorders F 1 I Disorders resulting from use of opioids 
F12 Disorders resulting from use of cannabinoids 
F13 Disorders resulting from use of sedatives or hypnotics 
F 14 Disorders resulting from use of cocaine 
F15 Disorders resulting from use of other stimulants, 
including caffeine 
FJ6 Disorders resulting from u,se of hallucinogens 
FI8 Disorders resulting from use of volatile solvents 
F19 Disorders resulting from multiple drug use and use of 
other psychoactive substances 
includes subcodes (fourth, fifth and sixth character) for the 
above 
FIx.O Acute intoxication 
FIx.l Harmful use 
Flx.2 Dependence syndrome 
Flx.3 Withdrawal state 
Flx.4 Withdrawal state with delirium 
FIx.S Psychotic disorder due to alcohol use 
Flx.6 Amnesic syndrome 
Appendix 1 -Crosswalks 79 ICD-lO PC Chapter V ICD-10 Chapter V Main Volume 
F17.1 
F20# 
F23 
80 F1x.?"
1038,"Residual and late onset psychotic disorder 
Same four and five character codes listed for FlO apply to Fll# (that is Fll-Fl9) 
Tobacco use 
disorders F17 Disorders resulting from use of tobacco 
includes subcodes (fourth character) for the above Fl1#, e. g., 
F17.1 Harmful use 
F17.2 Dependence syndrome 
F17.3 Withdrawal state 
Chronic psychotic F20 
disorders F21 Schizophrenia 
Schizotypal disorder 
Persistent delusional disorders 
Induced delusional disorder 
Acute psychotic 
disorders F22 
F24 
F28 Other nonorganic psychotic disorders 
F29 Unspecified nonorganic psychosis 
includes subcodes (fourth and fifth character) for the above: 
F20.0 Paranoid schizophrenia 
F20.1 Hebephrenic schizophrenia 
F20.2 Catatonic schizophrenia 
F20.3 Undifferentiated schizophrenia 
F20.S Residual schizophrenia 
F20.6 Simple schizophrenia 
F20.8 Other schizophrenia 
F20.9 Unspecified schizophrenia 
A fifth character may be used to classify course: 
.xO Continuous 
.xl Episodic with progreSSive deficit 
.x2 EpisodiC with stable deficit 
.x3 EpisodiC remittent 
.x4 Incomplete remission 
.xS Complete remission 
.x6 Other 
.x9 Course uncertain, period of observation too short 
F23 Acute and transient psychotic disorders 
includes subcodes (fourth and fifth character codes) for the 
above: 
F23.0 Acute polymorphic psychotic disorder without 
symptoms of schizophrenia 
F23.1 Acute polymorphic psychotic disorder with symptoms 
of schizophrenia 
F23.2 Acute schizophrenia-like psychotic disorder 
F23.3 Other acute predominantly delusional psychotic 
disorders 
F23.8 Other acute and transient psychotic disorders 
Appendix 1 Crosswalks ICD-IO PC Chapter V 
F31 Bipolar disorder 
F32# Depression 
Appendix 1 -Crosswalks ICD-IO Chapter V Main Volume 
F23.9 Acute and transient psychotic disorders unspecified 
A fifth character may be used to identify the presence or ab­
sence of associated acute stress: 
.xO Without associated acute stress 
.xl With associated acute stress 
If acute episodes are a form of a recurrent or current psy-
chotic disorder, they should be coded in F20#."
1039,"F30 Manic episode 
F31 Bipolar affective disorder 
F30 Manic episode 
includes subcodes (fourth and fifth character codes) for the 
above: 
F30.0 Hypomania 
F30.1 Mania without psychotic symptoms 
F30.2 Mania with psychotic symptoms 
F30.8 Other manic episodes 
F30.9 Manic episode, unspecified 
F31 Bipolar affective disorder 
F31.0 Bipolar affective disorder, current episode hypomanic 
F31.1 Bipolar affective disorder, current episode manic 
without psychotic symptoms 
F31.2 Bipolar affective disorder, current episode manic with 
psychotic symptoms 
F31.3 Bipolar affective disorder, current episode mild or 
moderate depression 
.30 Without somatic syndrome 
.31 With somatic syndrome 
F31.4 Bipolar affective disorder, current episode severe 
depression without psychotic symptoms 
F31.S Bipolar affective disorder, current episode severe 
depression with psychotic symptoms 
F31.6 Bipolar affective disorder, current episode mixed 
F3l.?"
1040,"Bipolar affective disorder, currently in remission 
F31.8 Other bipolar affective disorders 
F31.9 Bipolar affective disorder, unspecified 
F32 Depressive episodes 
F33 Recurrent depressive disorder 
F38 Other mood (affective) disorders 
F39 Unspecified mood (affective) disorder 
includes subcodes (fourth and fifth character codes) for the 
above: 
F32 
F32.0 Depressive episode 
Mild depressive episode 
.00 Without somatic syndrome 
.01 With somatic syndrome 
81 ICD-IQ PC Chapter V 
F40 
F41.0 
F41.1 
F41.2 
F43.2 
82 Phobic disorders 
Panic disorder 
Generalized 
anxiety 
Mixed anxiety 
and depression 
Adjustment 
disorder ICD-IO Chapter V Main Volume 
F32.1 Moderate depressive episode 
.10 Without somatic syndrome 
.11 With somatic syndrome 
F32.2 Severe depressive episode without psychotic 
symptoms 
F32.3 Severe depressive episode with psychotic 
symptoms 
F32.8 Other depressive episodes 
F32.9 Depressive episode, unspecified 
F33 Recurrent epressive disorders 
F33.0 Recurrent depressive disorder, current episode mild 
.00 Without somatic syndrome 
.01 With somatic syndrome 
F33.1 Recurrent depressive disorder, current episode moderate 
.10 Without somatic syndrome 
.11 With somatic syndrome 
F33.2 Recurrent depressive disorder, current episode severe 
without psychotic symptoms 
F33.3 
F33.4 
F33.8 
F33.9 
F38 
F38.0 
F38.1 
F38.8 
F39 
F40 
F40.0 
F40.1 
[F41 
F41.0 
F41.1 
[F41 
F41.1 
F41.3 
F41.8 
F41.9 Recurrent depressive disorder, current episode severe 
with psychotic symptoms 
Recurrent depressive disorder, currently in remission 
Other recurrent depressive disorders 
Recurrent depressive disorder, unspecified 
Other mood [affective] disorders 
Other single mood [affective] disorders 
.00 Mixed affective episode 
Other recurrent mood [affective] disorders 
.10 Recurrent brief depressive disorder 
Other specified mood [affective] disorders 
Unspecified mood [affective] disorder 
Phobic anxiety disorders 
Agoraphobia 
.00 Without panic disorder 
Social phobias 
Other anxiety disorders] 
Panic disorder [episodic paroxysmal anxiety] 
Agoraphobia with panic disorder 
Other anxiety disorders] 
Generalized anxiety disorder 
Other mixed anxiety disorders 
Other specified anxiety disorders 
Anxiety disorder, unspecified 
[F41 Other anXiety disorders] 
F41.2 Mixed anxiety and depressive disorder 
[F43 Reaction to severe stress, and adjustment disorders] 
Appendix 1 -Crosswalks ICD-lO PC Chapter V 
F44# Dissociative 
(conversion) 
disorder 
F4S Unexplained 
somatic 
complaints 
F48.0 Neurasthenia 
FSO Eating disorders ICD-I0 Chapter V Main Volume 
F43.2 Adjustment disorders 
.20 Brief depressive reaction 
.21 Prolonged depressive reaction 
.22 Mixed anxiety and depressive reaction 
.23 With predominant disturbance of other emotions 
.24 With predominant disturbance of conduct 
.2S With mixed disturbance of emotions and conduct 
.28 With other specified predominant symptoms 
F44 Dissociative (conversion) disorders 
F44.0 Dissociative amnesia 
F44.1 Dissociative fugue 
F44.2 Dissociative stupor 
F44.3 Trance and possession disorders 
F44.4 Dissociative motor disorders 
F44.S Dissociative convulsions 
F44.6 Dissociative anaesthesia and sensory loss 
F44.7 Mixed dissociative [conversion] disorders 
F44.8 Other dissociative [conversion] disorders 
.80 Ganser's syndrome 
.81 Multiple personality disorder 
.82 Transient dissociative [conversion] disorders 
occurring in childhood and adolescence 
.88 Other specified dissociative [conversion] disorders 
F44.9 Dissociative [conversion] disorder, unspecified 
F4S Somatoform disorders 
F4S.0 Somatization disorder 
F4S.1 Undifferentiated somatoform disorder 
F4S.2 Hypochondrical disorder 
F4S.3 Somatoform autonomic dysfunction 
.30 Heart and cardiovascular system 
.31 Upper gastrointestinal tract 
.32 Lower gastrointestinal tract 
.33 Respiratory system 
.34 Genitourinary system 
.38 Other organ or system 
F4S.4 Persistent somatoform pain disorder 
F4S.8 Other somatoform disorders 
F4S.9 Somatoform disorder, unspecified 
[F48 Other neurotic disorders] 
F48.0 Neurasthenia 
FSO Eating disorders 
FSO.O Anorexia nervosa 
FSO.1 Atypical anorexia nervosa 
FSO.2 Bulimia nervosa 
FSO.3 Atypical bulimia nervosa 
Appendix 1 -Crosswalks 83 Appendix 2 
List of Participating 
Investigators 
Production of lCD-IO PC Chapter V involved researchers and practitioners in some 70 coun­
tries."
1041,"Their efforts in compiling diagnostic and management guidelines were of great impor­
tance."
1042,"Many others participated in the field trials which further helped to refine and improve 
the classification system."
1043,"Argentina 
Enrique 1,."
1044,"De Rosa 
Rodolfo D. Fahrer 
Daniel M. Frankel 
Australia 
Gavin Andrews 
Charles Bridges-Webb 
Wesley Febb 
Caroline Hunt 
John Saunders 
Austria 
H. Katschnig 
Bahrain 
M. K. Al Haddad 
Bangladesh 
Gopi Kant Roy 
Belgium 
j an De Maeseneer 
jan Heyram 
Marc j amoulle 
Botswana 
V. B. Wankiri 
Brazil 
Laura Andrade 
Ellis D' Arrigo Busnello 
D. Caetono 
Sandra 1,."
1045,"Fortes 
Miguel j orge 
F. Kerr-Correa 
Ulysses Vianna-Filho 
86 Canada 
Enis Baris 
Robert Bernstein 
Laurence j. Kirmayer 
Roy Perault 
Chile 
Ramon Florenzano Urzua 
China (People's Rep of) 
Shen Yu-Cun 
Yangfeng Chen 
Michael R. Phillips 
Yan He-Quin 
Croatia 
Ante Gilici 
B.Lang 
Cuba 
Orlando A. Betancourt 
Czech Republic 
Cyril Hoschl 
jan Libiger 
Pavel Baudis 
Pett Smolik 
Denmark 
Niels Bentzen 
Aksel Bertelsen 
Annalise Dupont 
Egypt 
Kamal El Fawal 
Samir Nicolas 
Ahmed Okasha Finland 
Marten Kvist 
Matti Liukko 
France 
Aude Caria 
Philippes jacot 
Francois Mennerat 
P. Verta 
Gaza 
E. Sarrag 
Germany 
E. Baum 
O. Benkert 
H. Dilling 
Gisela Fischer 
H. Freyberger 
M. Krausz 
M. Linden 
W. Maier 
H. Remschmidt 
W. Schneider 
Guatemala 
Carlos Berganza 
Hong Kong 
Ki-Yan Mak 
lan Marshall 
Hungary 
janos Fiiredi 
India 
A. K. Agarwal 
C. R. Chadrashekhar 
Appendix 2 List of Participating Investigators S. M. Channabosavanna Mongolia Papua New Guinea 
Shiv Gautum P. Nymadawa Felix A. Johnson 
S. K. Khandelwal 
Sirivella Mohan Marocco Peru 
S. Murthy Driss Moussaoul Javier Mariategui 
R. Srinivaso Mahadi Poes Dante Warthon 
R.L."
1046,"Narang Myanmor Romania Hemen Phookan U. Thu Ta Mircea Lazarescu P. Ramakrishna 
Sekhar Saxena Namibia Russian Federation 
C. Shamasundar Claudine Aelvoet F.M."
1047,Gaiduke V.N.
1048,Vohia M. Kabanov Narendro N. Wig Nepal Mosolov M.K.
1049,"Nepal V. Semke Iran Dhruboman Shrestha S. Tzirkin Ferevdoun Mehrabl Christina Wright 
Husseini Saudi Arabia Mortaza Mohojer Netherlands Mohamed Abdel Mawaoud D. Shahmuhammadi Peter]."
1050,"Geerlings 
M. T. Yassamy R. Giel Singapore 
Israel Inge Hofmans-Okkes Keng Hock Lee 
Henk Lamberts Yigal Ginath Betty Meyboom de Jong South Africa 
Philip H. Sive Bea Tiemens A.E."
1051,"Gangat 
Philip Sive Jimmy Volmink 
New Zealand Italy Peter Elis Spain Bomenico Berardi Sarah Romans Juan Gervas Dargut Kemali Murray Tilvard Ivan Gevas Mario May Juan Jose Lopez-Ibor Jr. Fabrizio Starace Nicaragua ]."
1052,"L. Vazquez-Barguero Michelle Tansella Joses Trinidad 
Caldera-Aburto Sri Lanka Japan Nalaka Mendis Masahiro Asal Nigeria 
Y. Nakane Avo Binitie Sudan 
Takoshi Yamado Oye Gureje Ahmed Osman Sirag 
T. Dorodkeh Michael Oludare Olatawura 
B. O. Osuntokun Swaziland 
Kenya A. Uznanski 
D.M."
